,,event,position,timestamp,status,rate
102,0,0,0,3,1,1
102,1,2,97,114,1,1
102,2,2,280,306,1,1
103,0,0,0,3,1,1
103,1,2,13,22,1,1
103,2,1,13,22,0,1
103,3,0,13,30,1,1
103,4,2,266,308,1,1
103,5,3,272,313,1,1
103,6,1,285,327,0,1
103,7,0,285,335,1,1
107,0,0,0,1,1,1
107,1,1,124,124,0,1
107,2,0,124,513,1,1
112,0,0,0,1,1,1
112,1,1,41,42,0,1
112,2,0,41,54,1,1
113,0,0,0,1,1,1
113,1,1,83,83,0,1
113,2,0,83,99,1,1
114,0,0,0,1,1,1
115,0,0,0,1,1,1
115,1,1,26,26,0,1
115,2,0,26,548,1,1
116,0,0,0,1,1,1
117,0,0,0,1,1,1
117,1,1,132,132,0,1
117,2,2,105,137,0,1
117,3,1,120,154,0,1
117,4,0,120,255,1,1
117,5,1,225,360,0,1
117,6,0,225,509,1,1
117,7,1,271,555,0,1
117,8,0,271,557,1,1
117,9,1,277,563,0,1
117,10,0,277,689,1,1
117,11,1,381,793,0,1
117,12,0,381,838,1,1
117,13,1,529,986,0,1
117,14,0,529,1011,1,1
117,15,1,669,1150,0,1
117,16,0,669,1239,1,1
118,0,0,0,2,1,1
118,1,2,33,75,1,1
118,2,3,87,87,1,1
118,3,1,123,127,0,1
118,4,0,123,150,1,1
118,5,2,212,255,1,1
118,6,1,212,255,0,1
118,7,0,212,289,1,1
118,8,1,219,296,0,1
118,9,0,219,318,1,1
118,10,2,297,414,1,1
118,11,2,399,528,1,1
118,12,1,712,840,0,1
118,13,0,712,878,1,1
119,0,0,0,2,1,1
119,1,1,1,3,0,1
119,2,0,1,5,1,1
119,3,1,3,7,0,1
119,4,0,3,10,1,1
119,5,1,62,69,0,1
119,6,0,62,77,1,1
119,7,2,116,139,1,1
119,8,1,119,143,0,1
119,9,0,119,153,1,1
119,10,1,164,198,0,1
119,11,0,164,288,1,1
119,12,2,319,453,1,1
119,13,1,320,454,0,1
119,14,0,320,458,1,1
119,15,2,486,636,1,1
119,16,1,494,644,0,1
119,17,0,494,667,1,1
120,0,0,0,1,1,1
120,1,1,63,64,0,1
120,2,0,63,75,1,1
120,3,1,200,211,0,1
120,4,0,200,256,1,1
120,5,1,265,321,0,1
120,6,0,265,353,1,1
120,7,2,318,411,1,1
120,8,1,318,411,0,1
120,9,0,318,493,1,1
121,0,0,0,4,1,1
122,0,0,0,1,1,1
122,1,1,158,160,0,1
122,2,0,158,186,1,1
122,3,1,258,286,0,1
122,4,0,258,299,1,1
122,5,1,292,333,0,1
122,6,0,292,355,1,1
122,7,2,308,377,1,1
122,8,1,309,378,0,1
122,9,0,309,382,1,1
122,10,1,311,384,0,1
122,11,0,311,388,1,1
122,12,2,309,391,1,1
