,,event,position,timestamp,status,rate
78,2,0,296,322,1,1
79,0,0,0,9,1,1
79,1,0,1,24,1,1
79,2,0,3,38,1,1
79,3,0,9,49,1,1
79,4,0,16,64,1,1
79,5,0,21,87,1,1
79,6,0,25,115,1,1
79,7,0,26,157,1,1
79,8,0,29,175,1,1
79,9,0,33,189,1,1
79,10,0,38,202,1,1
79,11,0,42,214,1,1
79,12,0,46,226,1,1
79,13,0,50,235,1,1
79,14,0,55,247,1,1
79,15,0,58,366,1,1
79,16,0,110,444,1,1
79,17,0,116,586,1,1
79,18,0,149,623,1,1
79,19,0,150,908,1,1
79,20,0,170,932,1,1
79,21,0,171,952,1,1
79,22,0,172,987,1,1
79,23,0,176,1015,1,1
79,24,0,180,1040,1,1
79,25,0,184,1064,1,1
79,26,0,189,1079,1,1
79,27,0,193,1091,1,1
79,28,0,197,1104,1,1
79,29,0,200,1125,1,1
79,30,0,204,1156,1,1
79,31,0,208,1180,1,1
79,32,0,211,1207,1,1
79,33,0,215,1232,1,1
79,34,0,218,1272,1,1
79,35,0,222,1307,1,1
79,36,0,225,1340,1,1
79,37,0,228,1378,1,1
79,38,0,231,1412,1,1
79,39,0,235,1445,1,1
79,40,0,239,1472,1,1
79,41,0,242,1495,1,1
79,42,0,246,1511,1,1
79,43,0,250,1531,1,1
79,44,0,253,1556,1,1
79,45,0,257,1584,1,1
79,46,0,260,1611,1,1
79,47,0,264,1642,1,1
79,48,0,268,1672,1,1
79,49,0,272,1700,1,1
79,50,0,276,1724,1,1
79,51,0,280,1742,1,1
79,52,0,285,1756,1,1
79,53,0,290,1774,1,1
79,54,0,293,1804,1,1
79,55,0,297,1840,1,1
79,56,0,300,1863,1,1
79,57,0,303,1894,1,1
79,58,0,307,1914,1,1
79,59,0,310,1936,1,1
79,60,0,313,1961,1,1
79,61,0,317,1977,1,1
79,62,0,321,1998,1,1
79,63,0,325,2040,1,1
79,64,0,329,2093,1,1
79,65,0,330,2262,1,1
79,66,0,334,2269,1,1
80,0,0,0,3,1,1
80,1,0,24,37,1,1
80,2,2,280,307,1,1
81,0,0,0,2,1,1
81,1,0,318,322,1,1
81,2,0,319,345,1,1
81,3,0,320,397,1,1
81,4,0,322,428,1,1
81,5,0,325,445,1,1
81,6,0,330,461,1,1
81,7,0,335,486,1,1
81,8,0,339,500,1,1
81,9,0,342,510,1,1
81,10,0,374,582,1,1
81,11,0,381,595,1,1
81,12,0,387,609,1,1
81,13,0,399,626,1,1
81,14,0,405,636,1,1
81,15,0,457,690,1,1
82,0,0,0,1,1,1
83,0,0,0,2,1,1
83,1,0,62,65,1,1
83,2,2,53,83,1,1
83,3,1,62,97,0,1
83,4,0,62,140,1,1
83,5,1,131,209,0,1
83,6,0,131,255,1,1
83,7,2,180,318,1,1
83,8,2,270,431,1,1
83,9,1,309,481,0,1
83,10,0,309,534,1,1
83,11,1,341,566,0,1
83,12,0,341,718,1,1
83,13,1,404,780,0,1
83,14,0,404,845,1,1
83,15,1,471,912,0,1
83,16,0,471,996,1,1
84,0,0,0,2,1,1
84,1,0,33,556,1,1
84,2,0,155,832,1,1
84,3,1,284,970,0,1
84,4,0,284,988,1,1
84,5,1,296,1005,0,1
84,6,0,296,1024,1,1
84,7,1,334,1065,0,1
84,8,0,334,1173,1,1
84,9,1,396,1243,0,1
84,10,0,396,1262,1,1
84,11,1,424,1290,0,1
84,12,0,424,1332,1,1
85,0,0,0,2,1,1
86,0,0,0,11,1,1
87,0,0,0,2,1,1
88,0,0,0,1,1,1
88,1,0,408,433,1,1
89,0,0,0,3,1,1
89,1,2,333,346,1,1
90,0,0,0,3,1,1
91,0,0,0,2,1,1
91,1,1,372,13,0,1
91,2,0,372,15,1,1
92,0,0,0,1,1,1
93,0,3,288,3,-1,1
94,0,0,0,1,1,1
95,0,3,397,3,-1,1
95,1,0,397,6,1,1
96,0,0,0,1,1,1.0
96,1,0,2,41,1,1.0
96,2,1,12,49,0,1.0
96,3,0,12,188,1,1.0
96,4,0,224,360,1,1.0
96,5,1,229,364,0,1.0
96,6,0,229,367,1,1.0
96,7,0,238,377,1,1.0
96,8,1,261,396,0,1.0
96,9,0,261,399,1,1.0
96,10,1,268,405,0,1.0
96,11,0,268,408,1,1.0
96,12,1,277,415,0,1.0
96,13,0,277,418,1,1.0
96,14,4,8,47,0,1.25
97,0,3,346,3,-1,1
97,1,0,346,7,1,1
98,0,3,301,4,-1,1
99,0,0,0,1,1,1.0
99,1,2,124,101,1,1.0
99,2,1,339,250,0,1.0
99,3,4,61,54,0,1.5
100,0,0,0,2,1,1
100,1,3,571,6,1,1
101,0,3,471,2,-1,1
102,0,0,0,2,1,1.0
102,1,4,2,5,1,1.5
103,0,3,448,3,-1,1
104,0,0,0,1,1,1
105,0,0,0,1,1,1.0
105,1,1,314,346,0,1.0
105,2,1,49,46,0,1.0
105,3,1,50,74,0,1.0
105,4,0,50,81,1,1.0
105,5,1,168,177,0,1.0
105,6,0,168,180,1,1.0
105,7,1,178,194,0,1.0
105,8,0,178,210,1,1.0
105,9,1,227,250,0,1.0
105,10,0,227,255,1,1.0
105,11,1,239,265,0,1.0
105,12,0,239,268,1,1.0
105,13,1,261,286,0,1.0
105,14,1,270,297,0,1.0
105,15,0,270,301,1,1.0
105,16,1,275,305,0,1.0
105,17,0,282,317,1,1.0
105,18,6,298,331,1,1.0
106,0,0,1,3,1,1
106,1,0,16,24,1,1
106,2,2,16,36,1,1
106,3,2,269,303,1,1
106,4,1,381,420,0,1
106,5,0,381,425,1,1
107,0,0,0,1,1,1
107,1,0,56,74,1,1
107,2,0,122,211,1,1
107,3,3,260,348,1,1
107,4,2,384,471,1,1
108,0,0,0,1,1,1
108,1,0,15,9,1,1
108,2,1,17,11,0,1
108,3,1,19,16,0,1
108,4,0,19,26,1,1
108,5,1,23,30,0,1
108,6,0,23,43,1,1
108,7,1,28,48,0,1
108,8,0,28,58,1,1
108,9,1,31,61,0,1
108,10,0,31,77,1,1
108,11,1,34,80,0,1
108,12,0,34,85,1,1
108,13,1,235,310,0,1
108,14,0,235,313,1,1
109,0,0,0,1,1,1
110,0,0,0,1,1,1
111,0,0,0,1,1,1
111,1,3,17,5,1,1
111,2,0,310,304,1,1
112,0,0,0,3,1,1
112,1,2,280,306,1,1
113,0,0,0,3,1,1
113,1,1,13,22,0,1
113,2,0,13,30,1,1
113,3,2,274,308,1,1
113,4,3,272,313,1,1
113,5,1,285,327,0,1
113,6,0,285,335,1,1
114,0,1,255,179,0,1.0
114,1,0,255,246,1,1.0
114,2,1,262,251,0,1.0
114,3,1,295,280,0,1.0
114,4,0,0,289,1,1.0
114,5,4,17,19,1,1.5
115,0,0,59,55,1,1.0
115,1,0,0,1,1,1.0
115,2,4,1,3,1,1.5
116,0,0,0,1,1,1
117,0,0,0,1,1,1
117,1,0,124,513,1,1
118,0,0,0,2,1,1.0
